,Institution Name,City,State,Zip Code,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate
3091,Abilene Christian University,Abilene,TX,79699,2,32.468943,-99.709797,3141.0,55221.0,,40500.0,40500.0,0.6579
3092,Alvin Community College,Alvin,TX,77511-4898,1,29.396244,-95.240671,3151.0,11551.0,,1706.0,4010.0,
3093,Amarillo College,Amarillo,TX,79109,1,35.187839,-101.846988,7271.0,10912.0,,2136.0,4704.0,
3094,Amberton University,Garland,TX,75041-5595,2,32.859931,-96.65302,114.0,,,,,
3095,Angelina College,Lufkin,TX,75902-1768,1,31.287444,-94.731625,2453.0,13973.0,,3120.0,6150.0,
3096,Angelo State University,San Angelo,TX,76909,1,31.440914,-100.465051,5314.0,21174.0,,8186.0,17978.0,0.7914
3097,Arlington Baptist University,Arlington,TX,76012-3425,2,32.739489,-97.156024,216.0,26940.0,,17480.0,17480.0,
3098,Arlington Career Institute,Grand Prairie,TX,75050-2636,3,32.77244,-97.052772,375.0,,28152.0,,,
3099,The Art Institute of Houston,Houston,TX,77027-9625,3,29.73025,-95.445766,317.0,40128.0,,20794.0,20794.0,
3100,Austin College,Sherman,TX,75090-4400,2,33.646345,-96.596331,1166.0,57746.0,,44950.0,44950.0,0.5437
3101,Austin Community College District,Austin,TX,78752,1,30.322744,-97.712505,25332.0,11382.0,,2550.0,10590.0,
3102,Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,2,30.29201,-97.736958,,,,,,
3103,Baldwin Beauty School-South Austin,Austin,TX,78704-4785,3,30.241662,-97.783062,44.0,,19904.0,,,
3104,Baptist Health System School of Health Professions,San Antonio,TX,78229,3,29.517063,-98.567486,457.0,,,,,
3105,Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-5407,2,31.978961,-95.255524,53.0,,,8850.0,8850.0,0.7
3106,Baylor College of Medicine,Houston,TX,77030-3498,2,29.7106,-95.395743,,,,,,
3107,Baylor University,Waco,TX,76798,2,31.546872,-97.121041,15134.0,68535.0,,51738.0,51738.0,0.4588
3108,Coastal Bend College,Beeville,TX,78102,1,28.435194,-97.755896,2236.0,11282.0,,2658.0,4968.0,
3109,Blinn College District,Brenham,TX,77833-4098,1,30.160457,-96.40852,15721.0,19080.0,,4460.0,10940.0,
3110,Remington College-Dallas Campus,Dallas,TX,75243,2,32.912428,-96.733735,302.0,29495.0,,23365.0,23365.0,
3111,Vet Tech Institute of Houston,Houston,TX,77027,3,29.728907,-95.455533,175.0,19550.0,,15240.0,15240.0,0.6857
3112,Brazosport College,Lake Jackson,TX,77566,1,29.048604,-95.40934,2898.0,9244.0,,2411.0,4748.0,
3113,Central Texas College,Killeen,TX,76549-4199,1,31.120516,-97.810827,4818.0,11726.0,,3000.0,7500.0,
3114,Charles and Sues School of Hair Design,Bryan,TX,77802,3,30.6528,-96.340102,22.0,,24110.0,,,
3115,Cisco College,Cisco,TX,76437,1,32.401132,-98.985206,2797.0,14946.0,,4110.0,5310.0,
3116,Clarendon College,Clarendon,TX,79226,1,34.944558,-100.902421,1319.0,14182.0,,3720.0,5400.0,
3117,Concordia University Texas,Austin,TX,78726,2,30.420232,-97.835703,1571.0,49494.0,,35620.0,35620.0,0.8574
3118,BK Cosmo College of Cosmetology,Kerrville,TX,78028-4312,3,30.055075,-99.15037,38.0,,22519.0,,,
3119,North Central Texas College,Gainesville,TX,76240-4699,1,33.6188,-97.1658,5457.0,10027.0,,2520.0,7200.0,
3120,Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,1,27.713723,-97.32395,7818.0,23200.0,,9748.0,20745.0,0.8797
3121,Paul Mitchell the School-Dallas,Carrollton,TX,75006,3,32.973328,-96.843526,275.0,,26226.0,,,
3122,Dallas Baptist University,Dallas,TX,75211-9299,2,32.710017,-96.947006,2674.0,46367.0,,35310.0,35310.0,0.9137
3123,Dallas Christian College,Dallas,TX,75234-7299,2,32.913692,-96.887117,245.0,34925.0,,20580.0,20580.0,0.5
3124,Dallas Institute of Funeral Service,Dallas,TX,75227-4314,2,32.771368,-96.683404,776.0,20670.0,,13200.0,13200.0,
3125,Dallas Theological Seminary,Dallas,TX,75204,2,32.795361,-96.780497,,,,,,
3126,University of Dallas,Irving,TX,75062-4736,2,32.846221,-96.919512,1446.0,63310.0,,48000.0,48000.0,0.587
3127,Del Mar College,Corpus Christi,TX,78404-3897,1,27.763619,-97.40762,9104.0,11899.0,,3380.0,5990.0,
3128,East Texas Baptist University,Marshall,TX,75670-1498,2,32.557847,-94.374488,1324.0,40625.0,,28910.0,28910.0,0.677
3129,Texas A&M University-Texarkana,Texarkana,TX,75503,1,33.490482,-94.103617,1758.0,21204.0,,7930.0,20659.0,0.9148
3130,Texas A & M University-Commerce,Commerce,TX,75429-3011,1,33.242112,-95.904579,7317.0,22475.0,,10026.0,22266.0,0.8645
3131,Dallas College,Dallas,TX,75215-3604,1,32.766319,-96.794036,34709.0,9595.0,,2370.0,6000.0,
3132,El Paso Community College,El Paso,TX,79925-6507,1,31.773359,-106.373616,24129.0,12929.0,,3274.0,5314.0,
3133,Western Technical College,El Paso,TX,79924,3,31.877794,-106.425881,608.0,,23227.0,,,
3134,Western Technical College,El Paso,TX,79927,3,31.675953,-106.319269,1328.0,,,,,
