,Unnamed: 0,Institution Name,City,State,Zip Code,zip,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate,county,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
0,0,Abilene Christian University,Abilene,TX,79699,79699,Private for Profit,32.468943,-99.709797,3141.0,55221.0,,40500.0,40500.0,0.6579,Taylor,61806,136790,19947,116843,14.582206301630237
1,1,Alvin Community College,Alvin,TX,77511-4898,77511,Public,29.396244,-95.240671,3151.0,11551.0,,1706.0,4010.0,,Brazoria,91972,362047,27271,334776,7.532447444668786
2,2,Amarillo College,Amarillo,TX,79109,79109,Public,35.187839,-101.846988,7271.0,10912.0,,2136.0,4704.0,,Randall,78038,138573,13072,125501,9.433295086344382
3,3,Amberton University,Garland,TX,75041-5595,75041,Private for Profit,32.859931,-96.65302,114.0,,,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
4,4,Angelina College,Lufkin,TX,75902-1768,75902,Public,31.287444,-94.731625,2453.0,13973.0,,3120.0,6150.0,,Angelina,57055,84075,13536,70539,16.09991079393399
5,5,Angelo State University,San Angelo,TX,76909,76909,Public,31.440914,-100.465051,5314.0,21174.0,,8186.0,17978.0,0.7914,Tom Green,67215,113564,13332,100232,11.73963580007749
6,6,Arlington Baptist University,Arlington,TX,76012-3425,76012,Private for Profit,32.739489,-97.156024,216.0,26940.0,,17480.0,17480.0,,Tarrant,78872,2083760,229643,1854117,11.02060697969056
7,7,Arlington Career Institute,Grand Prairie,TX,75050-2636,75050,Private Non-Profit,32.77244,-97.052772,375.0,,28152.0,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
8,8,The Art Institute of Houston,Houston,TX,77027-9625,77027,Private Non-Profit,29.73025,-95.445766,317.0,40128.0,,20794.0,20794.0,,Harris,70789,4677056,737681,3939375,15.772336273074345
9,9,Austin College,Sherman,TX,75090-4400,75090,Private for Profit,33.646345,-96.596331,1166.0,57746.0,,44950.0,44950.0,0.5437,Grayson,66608,134425,15361,119064,11.427189882834297
10,10,Austin Community College District,Austin,TX,78752,78752,Public,30.322744,-97.712505,25332.0,11382.0,,2550.0,10590.0,,Travis,92731,1262697,142451,1120246,11.281487165963014
11,11,Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,78705,Private for Profit,30.29201,-97.736958,,,,,,,Travis,92731,1262697,142451,1120246,11.281487165963014
