,County,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
0,Anderson,57445,45524,7117,38407,15.633511993673665
1,Andrews,86458,18230,2177,16053,11.941854086670324
2,Angelina,57055,84075,13536,70539,16.09991079393399
3,Aransas,58168,23731,4241,19490,17.871139016476338
4,Archer,69954,8579,1054,7525,12.285814197458912
5,Armstrong,70417,1849,109,1740,5.895078420767982
6,Atascosa,67442,48617,6837,41780,14.062982084456054
7,Austin,73556,30093,3593,26500,11.939653740072442
8,Bailey,69830,6680,851,5829,12.739520958083833
9,Bandera,70965,20802,2968,17834,14.267858859725028
10,Bastrop,80151,95924,11454,84470,11.940703056586464
11,Baylor,52716,3396,395,3001,11.63133097762073
12,Bee,50283,23560,4703,18857,19.961799660441425
13,Bell,62858,360787,52988,307799,14.68678195167786
14,Bexar,67275,1977132,299972,1677160,15.172077534529812
15,Blanco,79717,11482,1122,10360,9.771816756662602
16,Borden,80625,686,11,675,1.6034985422740524
17,Bosque,63868,18052,2084,15968,11.544427210281409
18,Bowie,56628,86991,15117,71874,17.37765975790599
19,Brazoria,91972,362047,27271,334776,7.532447444668786
20,Brazos,57562,216892,52720,164172,24.307028382789593
21,Brewster,47747,9233,1445,7788,15.650384490414817
22,Briscoe,35446,1277,311,966,24.353954581049333
23,Brooks,30566,6551,2176,4375,33.21630285452603
24,Brown,53792,36298,4822,31476,13.284478483663012
25,Burleson,71745,17698,2205,15493,12.45903491919991
26,Burnet,71482,48579,3806,44773,7.834661067539472
27,Caldwell,66779,43844,6144,37700,14.013319952559073
28,Calhoun,62267,19837,1826,18011,9.205020920502092
29,Callahan,63906,13685,1203,12482,8.790646693459992
30,Cameron,47435,418955,106182,312773,25.34448807151126
31,Camp,53968,12487,2689,9798,21.534395771602465
32,Carson,83199,5758,432,5326,7.50260507120528
33,Cass,54303,28219,5220,22999,18.498174988482937
34,Castro,59886,7299,908,6391,12.440060282230442
35,Chambers,106103,46751,6406,40345,13.702380697739086
36,Cherokee,56971,47337,7847,39490,16.576884889198723
37,Childress,56063,5317,802,4515,15.083693812300169
38,Clay,75227,10173,925,9248,9.092696353091517
39,Cochran,41597,2476,640,1836,25.848142164781905
40,Coke,40230,3174,524,2650,16.509136735979837
41,Coleman,51034,7719,1321,6398,17.113615753335925
42,Collin,113255,1071135,67718,1003417,6.322078916289731
43,Collingsworth,52045,2788,623,2165,22.34576757532281
44,Colorado,63352,19995,1490,18505,7.451862965741435
45,Comal,93744,163887,9998,153889,6.100544887635993
46,Comanche,57383,13424,1816,11608,13.528009535160907
47,Concho,55750,2417,385,2032,15.928837401737692
48,Cooke,66374,41107,5479,35628,13.32863016031333
49,Coryell,63281,66828,7092,59736,10.612318189980249
50,Cottle,47625,1647,397,1250,24.104432301153615
51,Crane,71364,4514,172,4342,3.8103677447939743
52,Crockett,64103,2888,269,2619,9.314404432132964
53,Crosby,50268,5056,1192,3864,23.575949367088608
54,Culberson,35924,2166,480,1686,22.160664819944596
55,Dallam,71969,7007,600,6407,8.562865705722848
56,Dallas,70732,2573799,359882,2213917,13.982521556656133
57,Dawson,45268,10588,2624,7964,24.78277295051001
58,Deaf Smith,51942,18299,2899,15400,15.84239575933111
59,Delta,68491,5215,736,4479,14.11313518696069
60,Denton,104180,903074,66977,836097,7.416557225653711
61,DeWitt,61100,17896,2959,14937,16.53442109968708
62,Dickens,46638,1491,183,1308,12.273641851106639
63,Dimmit,27374,8552,3726,4826,43.568755846585596
64,Donley,51711,2953,334,2619,11.310531662715881
65,Duval,50697,9347,2017,7330,21.579116293998073
66,Eastland,52902,16910,2738,14172,16.191602602010644
67,Ector,70566,160274,25297,134977,15.783595592547762
68,Edwards,40809,1346,315,1031,23.40267459138187
69,Ellis,93248,193409,15850,177559,8.195068481818323
70,El Paso,55417,849872,165778,684094,19.50623152662989
71,Erath,59654,40305,6667,33638,16.54137203820866
72,Falls,45172,15142,2400,12742,15.849953770968167
73,Fannin,65835,33020,4237,28783,12.831617201695941
74,Fayette,72881,24123,2451,21672,10.16042780748663
75,Fisher,60461,3629,442,3187,12.17966381923395
76,Floyd,49321,5340,1016,4324,19.02621722846442
77,Foard,41944,1024,226,798,22.0703125
78,Fort Bend,109987,825704,57188,768516,6.925968627982909
79,Franklin,67915,10332,891,9441,8.623693379790941
80,Freestone,55902,18170,2300,15870,12.658227848101266
81,Frio,56042,14708,3039,11669,20.662224639651892
82,Gaines,73299,21389,2708,18681,12.660713450839218
83,Galveston,83913,344758,37987,306771,11.018453523921128
84,Garza,56215,4308,663,3645,15.389972144846798
85,Gillespie,70162,26603,2413,24190,9.070405593354133
86,Glasscock,112188,1068,56,1012,5.2434456928838955
87,Goliad,58125,6992,698,6294,9.982837528604119
88,Gonzales,64255,19430,2540,16890,13.072568193515183
89,Gray,54563,19510,3316,16194,16.996412096360842
90,Grayson,66608,134425,15361,119064,11.427189882834295
91,Gregg,63811,120323,19907,100416,16.544634026744678
92,Grimes,63484,25872,3719,22153,14.374613481756338
93,Guadalupe,88111,171796,14956,156840,8.705674171692007
94,Hale,50721,30229,5596,24633,18.512024876773957
95,Hall,43873,2795,519,2276,18.56887298747764
96,Hamilton,54890,8032,1377,6655,17.143924302788843
97,Hansford,62350,5194,434,4760,8.355795148247978
98,Hardeman,60455,3490,390,3100,11.174785100286533
99,Hardin,70164,55766,7506,48260,13.459814223720546
100,Harris,70789,4677056,737681,3939375,15.772336273074345
101,Harrison,63427,66994,10946,56048,16.338776606860318
102,Hartley,78065,3888,270,3618,6.944444444444445
103,Haskell,52786,5140,773,4367,15.038910505836576
104,Hays,79990,237907,30750,207157,12.925218677886738
105,Hemphill,67798,3322,204,3118,6.1408789885611075
106,Henderson,59778,81208,11986,69222,14.759629593143533
107,Hidalgo,49371,863824,239276,624548,27.69962399748097
108,Hill,60669,35145,4681,30464,13.319106558543178
109,Hockley,53283,20762,3129,17633,15.0708024275118
110,Hood,80013,61634,5467,56167,8.870104163286499
111,Hopkins,63766,36377,4874,31503,13.398576023311435
112,Houston,51043,19160,3374,15786,17.609603340292278
113,Howard,67243,30537,4428,26109,14.500442086648983
114,Hudspeth,35163,2437,620,1817,25.441116126384898
115,Hunt,66885,98688,12082,86606,12.242623216601816
116,Hutchinson,62211,20404,2114,18290,10.360713585571457
117,Irion,54708,1561,116,1445,7.431133888532991
118,Jack,58861,7559,1096,6463,14.499272390527848
119,Jackson,67176,14799,1770,13029,11.960267585647678
120,Jasper,48818,31924,7291,24633,22.83861671469741
121,Jeff Davis,38125,1951,480,1471,24.602767811378783
122,Jefferson,57294,239089,43498,195591,18.193225117006637
123,Jim Hogg,42292,4703,1364,3339,29.002764193068252
124,Jim Wells,46626,38594,8731,29863,22.6226874643727
125,Johnson,77058,179607,19045,160562,10.603706982467276
126,Jones,59361,13553,1924,11629,14.196118940455987
127,Karnes,57798,11214,2355,8859,21.000535045478866
128,Kaufman,84075,148029,14486,133543,9.785920326422525
129,Kendall,104196,44762,2280,42482,5.093606183816631
130,Kenedy,45455,116,3,113,2.586206896551724
131,Kent,68553,578,46,532,7.958477508650519
132,Kerr,66713,51003,6395,44608,12.538478128737527
133,Kimble,62386,4251,528,3723,12.42060691601976
134,King,59375,216,60,156,27.77777777777778
135,Kinney,52386,2938,459,2479,15.62287270251872
136,Kleberg,52487,29068,8885,20183,30.566258428512455
137,Knox,48750,3203,366,2837,11.426787386824852
138,Lamar,58246,49447,7892,41555,15.960523388678787
139,Lamb,54519,12797,2233,10564,17.44940220364148
140,Lampasas,73269,21622,2052,19570,9.490333919156415
141,La Salle,62798,6004,1683,4321,28.03131245836109
142,Lavaca,58530,19876,2035,17841,10.23847856711612
143,Lee,66448,17152,2258,14894,13.16464552238806
144,Leon,57363,15846,2277,13569,14.369556985990156
145,Liberty,59605,86962,15410,71552,17.7203836158322
146,Limestone,53102,21400,4600,16800,21.49532710280374
147,Lipscomb,71625,2966,409,2557,13.789615643964936
148,Live Oak,55949,9890,2081,7809,21.041456016177957
149,Llano,64241,21393,2420,18973,11.312111438320946
150,Loving,-666666666,96,5,91,5.208333333333334
151,Lubbock,61911,298979,51472,247507,17.215924864288127
152,Lynn,52996,5534,1041,4493,18.810986628117092
153,McCulloch,53214,7464,1005,6459,13.464630225080384
154,McLennan,59781,250840,44851,205989,17.88032211768458
155,McMullen,60313,670,100,570,14.925373134328357
156,Madison,65768,11248,1403,9845,12.473328591749643
157,Marion,48040,9565,1502,8063,15.703084161003659
158,Martin,70217,5170,873,4297,16.88588007736944
159,Mason,77583,3950,195,3755,4.936708860759493
160,Matagorda,56412,35830,7798,28032,21.76388501255931
161,Maverick,48497,57490,13473,44017,23.435380066098453
162,Medina,73060,49103,5045,44058,10.274321324562655
163,Menard,40945,1917,431,1486,22.4830464267084
164,Midland,90123,167587,18020,149567,10.75262401021559
165,Milam,56985,24558,3505,21053,14.27233488069061
166,Mills,59315,4319,297,4022,6.876591803658254
167,Mitchell,49869,7211,1042,6169,14.450145610872278
168,Montague,63336,19861,2573,17288,12.955037510699361
169,Montgomery,95946,626227,55202,571025,8.815014363800985
170,Moore,59041,21061,2839,18222,13.479891743032143
171,Morris,51532,11696,1844,9852,15.766073871409029
172,Motley,66528,1223,115,1108,9.403107113654947
173,Nacogdoches,51153,59438,13339,46099,22.4418722029678
174,Navarro,56261,51662,8502,43160,16.45697030699547
175,Newton,38871,12156,2944,9212,24.21849292530438
176,Nolan,47437,14354,2230,12124,15.535739166782777
177,Nueces,64027,345480,59784,285696,17.30461965960403
178,Ochiltree,62240,9823,1200,8623,12.216227221826326
179,Oldham,71103,1852,318,1534,17.17062634989201
180,Orange,71910,83847,9995,73852,11.92052190298997
181,Palo Pinto,65242,28250,4473,23777,15.83362831858407
182,Panola,58205,22030,3078,18952,13.971856559237402
183,Parker,95721,149019,11791,137228,7.912413853267034
184,Parmer,65575,9713,924,8789,9.513023782559456
185,Pecos,59325,12741,2926,9815,22.965230358684565
186,Polk,57315,46758,7654,39104,16.369391334103256
187,Potter,47974,111208,23029,88179,20.708042586864252
188,Presidio,29012,6163,2465,3698,39.99675482719455
189,Rains,60291,12171,1338,10833,10.993344836085777
190,Randall,78038,138573,13072,125501,9.433295086344382
191,Reagan,70319,3284,236,3048,7.186358099878197
192,Real,46842,2593,636,1957,24.527574238333976
193,Red River,44583,11429,2310,9119,20.211742059672762
194,Reeves,57487,12897,2704,10193,20.96611615104288
195,Refugio,54304,6553,1068,5485,16.297878834121775
196,Roberts,62667,760,112,648,14.736842105263156
197,Robertson,59410,16703,2380,14323,14.248937316649704
198,Rockwall,121303,109629,4575,105054,4.173165859398517
199,Runnels,55424,9580,1136,8444,11.8580375782881
200,Rusk,61661,47796,6416,41380,13.423717465896729
201,Sabine,47061,9850,1705,8145,17.309644670050762
202,San Augustine,45888,7671,2093,5578,27.284578281840698
203,San Jacinto,54839,27507,4780,22727,17.37739484494856
204,San Patricio,63842,67900,10701,57199,15.759941089837998
205,San Saba,54087,5154,736,4418,14.280170741171904
206,Schleicher,53774,2466,357,2109,14.476885644768856
207,Scurry,58932,14862,1757,13105,11.822096622258108
208,Shackelford,60924,3097,350,2747,11.301259283177268
